fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
C2,,,,,51.621244,-115.608378,2057.0,,,,,18.0,199.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2069.0,,,,,24.0,195.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2304.0,,,,,12.0,183.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2306.0,,,,,12.0,193.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2310.0,,,,,12.0,202.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2316.0,,,,,12.0,203.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2321.0,,,,,13.0,202.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2326.0,,,,,12.0,187.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2323.0,,,,,26.0,115.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2277.0,,,,,67.0,95.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2189.0,,,,,66.0,92.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2146.0,,,,,24.0,103.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2143.0,,,,,13.0,128.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2125.0,,,,,18.0,115.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2107.0,,,,,15.0,125.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2099.0,,,,,11.0,147.0,,,1.15,,20,
C3,,,,,51.621244,-115.608378,2096.0,,,,,11.0,146.0,,,1.15,,20,
C3,,,,,51.621244,-115.608378,2089.0,,,,,13.0,129.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2078.0,,,,,17.0,111.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2053.0,,,,,15.0,107.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2040.0,,,,,9.0,164.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2050.0,,,,,16.0,188.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2293.0,,,,,30.0,184.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2296.0,,,,,27.0,193.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2300.0,,,,,21.0,200.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2304.0,,,,,17.0,200.0,,,,,20,
NF,,,,,51.621244,-115.608378,2308.0,,,,,15.0,201.0,,,,,20,
NF,,,,,51.621244,-115.608378,2314.0,,,,,12.0,191.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2312.0,,,,,22.0,114.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2273.0,,,,,61.0,94.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2191.0,,,,,67.0,92.0,,,,,20,
NF,,,,,51.621244,-115.608378,2138.0,,,,,30.0,102.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2130.0,,,,,13.0,134.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2118.0,,,,,16.0,118.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2101.0,,,,,15.0,114.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2090.0,,,,,10.0,136.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2087.0,,,,,11.0,147.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2078.0,,,,,14.0,135.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2066.0,,,,,17.0,126.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2054.0,,,,,15.0,119.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2044.0,,,,,10.0,133.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2031.0,,,,,9.0,168.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2240.0,,,,,64.0,183.0,,,,,20,
NF,,,,,51.621244,-115.608378,2251.0,,,,,61.0,192.0,,,,,20,
NF,,,,,51.621244,-115.608378,2272.0,,,,,53.0,198.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2285.0,,,,,40.0,200.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2293.0,,,,,28.0,205.0,,,,,20,
NF,,,,,51.621244,-115.608378,2300.0,,,,,17.0,204.0,,,,,20,
NF,,,,,51.621244,-115.608378,2304.0,,,,,18.0,121.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2266.0,,,,,56.0,94.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2189.0,,,,,67.0,91.0,,,,,20,
C1,,,,,51.621244,-115.608378,2131.0,,,,,36.0,97.0,,,0.75,,20,
O1a,,,,,51.621244,-115.608378,2118.0,,,,,15.0,131.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2112.0,,,,,15.0,131.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2096.0,,,,,16.0,123.0,,,0.35,60.0,20,
C3,,,,,51.621244,-115.608378,2083.0,,,,,13.0,136.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2077.0,,,,,13.0,147.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2069.0,,,,,16.0,138.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2053.0,,,,,18.0,133.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2041.0,,,,,18.0,137.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2028.0,,,,,14.0,149.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2028.0,,,,,9.0,172.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2164.0,,,,,60.0,182.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2171.0,,,,,66.0,191.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2198.0,,,,,71.0,198.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2228.0,,,,,67.0,202.0,,,,,20,
NF,,,,,51.621244,-115.608378,2260.0,,,,,55.0,209.0,,,,,20,
NF,,,,,51.621244,-115.608378,2283.0,,,,,36.0,213.0,,,,,20,
NF,,,,,51.621244,-115.608378,2293.0,,,,,15.0,155.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2263.0,,,,,47.0,92.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2195.0,,,,,66.0,86.0,,,,,20,
C1,,,,,51.621244,-115.608378,2129.0,,,,,45.0,90.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2105.0,,,,,20.0,120.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2097.0,,,,,19.0,144.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2084.0,,,,,19.0,141.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2072.0,,,,,18.0,144.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2062.0,,,,,17.0,151.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2053.0,,,,,17.0,145.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2041.0,,,,,18.0,135.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2027.0,,,,,18.0,133.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2014.0,,,,,13.0,155.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2017.0,,,,,12.0,183.0,,,0.8,,20,
C1,,,,,51.621244,-115.608378,2124.0,,,,,25.0,172.0,,,0.75,,20,
O1a,,,,,51.621244,-115.608378,2118.0,,,,,36.0,185.0,,,0.35,60.0,20,
C1,,,,,51.621244,-115.608378,2132.0,,,,,51.0,200.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2153.0,,,,,62.0,208.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2194.0,,,,,66.0,215.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2243.0,,,,,57.0,218.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2276.0,,,,,28.0,205.0,,,,,20,
NF,,,,,51.621244,-115.608378,2264.0,,,,,33.0,96.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2205.0,,,,,66.0,85.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2136.0,,,,,57.0,92.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2092.0,,,,,31.0,117.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2076.0,,,,,21.0,149.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2066.0,,,,,20.0,148.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2055.0,,,,,19.0,145.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2043.0,,,,,17.0,150.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2039.0,,,,,17.0,149.0,,,1.15,,20,
C3,,,,,51.621244,-115.608378,2029.0,,,,,18.0,142.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2015.0,,,,,16.0,135.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2004.0,,,,,12.0,152.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2004.0,,,,,12.0,180.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2120.0,,,,,20.0,33.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2097.0,,,,,15.0,83.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2096.0,,,,,19.0,193.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2117.0,,,,,39.0,216.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2146.0,,,,,54.0,220.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2187.0,,,,,63.0,222.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2239.0,,,,,51.0,223.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2264.0,,,,,16.0,142.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2215.0,,,,,65.0,88.0,,,0.35,60.0,20,
C1,,,,,51.621244,-115.608378,2127.0,,,,,71.0,93.0,,,0.75,,20,
NF,,,,,51.621244,-115.608378,2068.0,,,,,36.0,111.0,,,,,20,
C2,,,,,51.621244,-115.608378,2057.0,,,,,16.0,146.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2052.0,,,,,14.0,141.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2039.0,,,,,16.0,136.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2033.0,,,,,16.0,144.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2021.0,,,,,17.0,146.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2010.0,,,,,16.0,147.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2005.0,,,,,15.0,140.0,,,1.15,,20,
C3,,,,,51.621244,-115.608378,1993.0,,,,,13.0,150.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,1991.0,,,,,12.0,177.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2167.0,,,,,44.0,27.0,,,,,20,
NF,,,,,51.621244,-115.608378,2127.0,,,,,44.0,58.0,,,,,20,
C2,,,,,51.621244,-115.608378,2085.0,,,,,17.0,93.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2089.0,,,,,24.0,205.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2112.0,,,,,43.0,217.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2141.0,,,,,57.0,223.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2187.0,,,,,63.0,229.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2245.0,,,,,29.0,214.0,,,,,20,
NF,,,,,51.621244,-115.608378,2225.0,,,,,55.0,92.0,,,,,20,
NF,,,,,51.621244,-115.608378,2125.0,,,,,81.0,87.0,,,,,20,
NF,,,,,51.621244,-115.608378,2058.0,,,,,40.0,94.0,,,,,20,
C1,,,,,51.621244,-115.608378,2049.0,,,,,11.0,132.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2045.0,,,,,13.0,135.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2031.0,,,,,15.0,129.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2017.0,,,,,15.0,134.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2008.0,,,,,14.0,139.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2000.0,,,,,12.0,142.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1994.0,,,,,15.0,138.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,1980.0,,,,,14.0,150.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,1979.0,,,,,12.0,178.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2207.0,,,,,37.0,43.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2150.0,,,,,58.0,68.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2091.0,,,,,40.0,80.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2066.0,,,,,16.0,149.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2074.0,,,,,34.0,209.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2103.0,,,,,50.0,224.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2146.0,,,,,63.0,233.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2207.0,,,,,49.0,231.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2227.0,,,,,36.0,105.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2140.0,,,,,83.0,88.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2057.0,,,,,49.0,93.0,,,,,20,
C1,,,,,51.621244,-115.608378,2042.0,,,,,17.0,130.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2030.0,,,,,15.0,147.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2023.0,,,,,16.0,135.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2009.0,,,,,17.0,133.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1999.0,,,,,14.0,146.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,1992.0,,,,,13.0,146.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,1981.0,,,,,18.0,133.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1965.0,,,,,16.0,151.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1967.0,,,,,13.0,184.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2225.0,,,,,25.0,84.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2173.0,,,,,59.0,85.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2103.0,,,,,51.0,86.0,,,,,20,
C2,,,,,51.621244,-115.608378,2059.0,,,,,24.0,100.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2044.0,,,,,18.0,193.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2069.0,,,,,41.0,225.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2109.0,,,,,59.0,232.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2166.0,,,,,61.0,232.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2217.0,,,,,30.0,152.0,,,,,20,
NF,,,,,51.621244,-115.608378,2141.0,,,,,76.0,97.0,,,,,20,
NF,,,,,51.621244,-115.608378,2053.0,,,,,57.0,95.0,,,,,20,
C1,,,,,51.621244,-115.608378,2021.0,,,,,19.0,119.0,,,0.75,,20,
C1,,,,,51.621244,-115.608378,2017.0,,,,,9.0,150.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2010.0,,,,,14.0,117.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1993.0,,,,,19.0,123.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1982.0,,,,,18.0,148.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1978.0,,,,,17.0,158.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1971.0,,,,,20.0,137.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1948.0,,,,,16.0,151.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,1953.0,,,,,13.0,189.0,,,0.8,,20,
C1,,,,,51.621244,-115.608378,2209.0,,,,,28.0,125.0,,,0.75,,20,
O1a,,,,,51.621244,-115.608378,2163.0,,,,,56.0,102.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2097.0,,,,,49.0,95.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2063.0,,,,,29.0,90.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2036.0,,,,,9.0,122.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2041.0,,,,,25.0,225.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2074.0,,,,,50.0,231.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2125.0,,,,,61.0,227.0,,,0.8,,20,
